"CODIGO_UBIGEO"|"DEPARTAMENTO"|"PROVINCIA"|"DISTRITO"
"110501"|"Ica"|"Pisco"|"Pisco"
"250105"|"Ucayali"|"Coronel Portillo"|"Yarinacocha"
"130601"|"La Libertad"|"Otuzco"|"Otuzco"
"060201"|"Cajamarca"|"Cajabamba"|"Cajabamba"
"080903"|"Cusco"|"La Convencion"|"Huayopata"
"080201"|"Cusco"|"Acomayo"|"Acomayo"
"220301"|"San Martin"|"El Dorado"|"San Jose de Sisa"
"200607"|"Piura"|"Sullana"|"Querecotillo"
"090705"|"Huancavelica"|"Tayacaja"|"Colcabamba"
"100102"|"Huanuco"|"Huanuco"|"Amarilis"
"030216"|"Apurimac"|"Andahuaylas"|"Talavera"
"130206"|"La Libertad"|"Ascope"|"Razuri"
"130701"|"La Libertad"|"Pacasmayo"|"San Pedro de Lloc"
"060508"|"Cajamarca"|"Contumaza"|"Yonan"
"140113"|"Lambayeque"|"Chiclayo"|"Reque"
"200702"|"Piura"|"Talara"|"El Alto"
"180201"|"Moquegua"|"General Sanchez Cerro"|"Omate"
"150722"|"Lima"|"Huarochiri"|"San Mateo"
"230302"|"Tacna"|"Jorge Basadre"|"Ilabaya"
"150901"|"Lima"|"Oyon"|"Oyon"
"160501"|"Loreto"|"Requena"|"Requena"
"050603"|"Ayacucho"|"Lucanas"|"Cabana"
"050701"|"Ayacucho"|"Parinacochas"|"Coracora"
"060409"|"Cajamarca"|"Chota"|"Huambos"
"010301"|"Amazonas"|"Bongara"|"Jumbilla"
"010512"|"Amazonas"|"Luya"|"Ocalli"
"010601"|"Amazonas"|"Rodriguez de Mendoza"|"San Nicolas"
"220801"|"San Martin"|"Rioja"|"Rioja"
"060905"|"Cajamarca"|"San Ignacio"|"Namballe"
"061106"|"Cajamarca"|"San Miguel"|"La Florida"
"061306"|"Cajamarca"|"Santa Cruz"|"Ninabamba"
"210601"|"Puno"|"Huancane"|"Huancane"
"190305"|"Pasco"|"Oxapampa"|"Pozuzo"
"090108"|"Huancavelica"|"Huancavelica"|"Izcuchaca"
"110102"|"Ica"|"Ica"|"La Tinguiña"
"110111"|"Ica"|"Ica"|"Santiago"
"190201"|"Pasco"|"Daniel Alcides Carrion"|"Yanahuanca"
"200703"|"Piura"|"Talara"|"La Brea"
"221005"|"San Martin"|"Tocache"|"Uchiza"
"211207"|"Puno"|"Sandia"|"San Juan del Oro"
"100111"|"Huanuco"|"Huanuco"|"Pillco Marca"
"210107"|"Puno"|"Puno"|"Coata"
"210607"|"Puno"|"Huancane"|"Taraco"
"220805"|"San Martin"|"Rioja"|"Pardo Miguel"
"040125"|"Arequipa"|"Arequipa"|"Vitor"
"220910"|"San Martin"|"San Martin"|"Morales"
"150810"|"Lima"|"Huaura"|"Santa Maria"
"070107"|"Callao"|"Prov. Const. del Callao"|"Mi Perú"
